"","GEOID20","DISTRICTNO"
"1","42001000170",10
"2","42001000190",10
"3","42001000200",10
"4","42001000260",10
"5","42001000230",10
"6","42001000270",10
"7","42001000310",10
"8","42001000320",10
"9","42001000330",10
"10","42001000370",10
"11","42001000380",10
"12","42001000390",10
"13","42001000425",10
"14","42001000450",10
"15","42001000440",10
"16","42001000460",10
"17","42001000480",10
"18","42001000240",10
"19","42001000280",10
"20","42001000340",10
"21","42001000360",10
"22","42001000350",10
"23","42001000385",10
"24","42001000400",10
"25","42001000410",10
"26","42001000427",10
"27","42001000290",10
"28","42001000010",10
"29","42001000040",10
"30","42001000020",10
"31","42001000030",10
"32","42001000050",10
"33","42001000070",10
"34","42001000490",10
"35","42001000082",10
"36","42001000078",10
"37","42001000060",10
"38","42001000090",10
"39","42001000100",10
"40","42001000130",10
"41","42001000110",10
"42","42001000120",10
"43","42001000140",10
"44","42001000150",10
"45","42001000160",10
"46","42001000180",10
"47","42079000025",8
"48","42079000010",8
"49","42079000060",8
"50","42079000050",8
"51","42079000070",8
"52","42079000083",8
"53","42079000080",8
"54","42079000088",8
"55","42079000095",8
"56","42079000120",8
"57","42079000180",8
"58","42051000536",12
"59","42051001072",12
"60","42035000010",13
"61","42035000020",13
"62","42035000030",13
"63","42035000370",13
"64","42035000040",13
"65","42035000050",13
"66","42035000060",13
"67","42035000070",13
"68","42035000080",13
"69","42035000090",13
"70","42035000100",13
"71","42035000110",13
"72","42035000120",13
"73","42035000130",13
"74","42035000140",13
"75","42035000150",13
"76","42035000160",13
"77","42035000170",13
"78","42035000180",13
"79","42035000210",13
"80","42035000190",13
"81","42035000220",13
"82","42035000200",13
"83","42035000230",13
"84","42035000250",13
"85","42035000265",13
"86","42035000240",13
"87","42035000280",13
"88","42035000290",13
"89","42035000300",13
"90","42035000315",13
"91","42035000340",13
"92","42035000350",13
"93","42035000360",13
"94","42089000162",8
"95","42089000164",8
"96","42115000010",8
"97","42115000020",8
"98","42115000430",8
"99","42115000030",8
"100","42115000360",8
"101","42115000040",8
"102","42115000050",8
"103","42115000060",8
"104","42067000010",13
"105","42067000020",13
"106","42067000030",13
"107","42067000200",13
"108","42067000040",13
"109","42067000050",13
"110","42067000071",13
"111","42067000090",13
"112","42067000100",13
"113","42067000110",13
"114","42067000120",13
"115","42067000130",13
"116","42067000140",13
"117","42067000150",13
"118","42067000160",13
"119","42067000170",13
"120","42067000180",13
"121","42067000190",13
"122","42025000015",9
"123","42025000040",9
"124","42025000050",9
"125","42025000062",9
"126","42025000070",9
"127","42025000058",9
"128","42025000100",9
"129","42025000090",9
"130","42025000460",9
"131","42025000080",9
"132","42025000130",9
"133","42025000120",9
"134","42025000110",9
"135","42025000140",9
"136","42025000150",9
"137","42025000160",9
"138","42025000180",9
"139","42025000200",9
"140","42025000190",9
"141","42025000210",9
"142","42025000220",9
"143","42025000170",9
"144","42025000240",9
"145","42025000250",9
"146","42025000230",9
"147","42025000258",9
"148","42025000262",9
"149","42025000280",9
"150","42025000270",9
"151","42025000290",9
"152","42025000310",9
"153","42025000300",9
"154","42025000320",9
"155","42025000340",9
"156","42025000350",9
"157","42025000330",9
"158","42025000360",9
"159","42025000376",9
"160","42025000390",9
"161","42025000400",9
"162","42025000380",9
"163","42025000420",9
"164","42025000410",9
"165","42025000428",9
"166","42025000432",9
"167","42025000371",9
"168","42025000363",9
"169","42025000379",9
"170","42025000367",9
"171","42025000450",9
"172","42025000440",9
"173","42081000742",13
"174","42081000075",13
"175","42081000712",13
"176","42081000732",13
"177","42081000772",13
"178","42081000692",13
"179","42081000802",13
"180","42081000722",13
"181","42081000682",13
"182","42081000792",13
"183","42081000782",13
"184","42081000752",13
"185","42081000762",13
"186","42081000702",13
"187","42031000010",14
"188","42031000020",14
"189","42031000500",14
"190","42091003384",4
"191","42091003382",4
"192","42015000010",13
"193","42015000020",13
"194","42015000030",13
"195","42015000040",13
"196","42015000610",13
"197","42015000100",13
"198","42015000080",13
"199","42015000090",13
"200","42015000050",13
"201","42015000110",13
"202","42015000070",13
"203","42015000120",13
"204","42015000060",13
"205","42015000140",13
"206","42015000130",13
"207","42015000150",13
"208","42015000160",13
"209","42015000170",13
"210","42015000190",13
"211","42015000200",13
"212","42015000180",13
"213","42015000210",13
"214","42015000230",13
"215","42015000220",13
"216","42015000240",13
"217","42015000250",13
"218","42015000260",13
"219","42015000270",13
"220","42015000280",13
"221","42015000290",13
"222","42057000010",12
"223","42057000020",12
"224","42057000030",12
"225","42057000040",12
"226","42057000050",12
"227","42057000060",12
"228","42057000070",12
"229","42057000080",12
"230","42057000090",10
